TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
12	R	F	R	Q	R	8	5	shapes	Q	5	False	4	(-5.7898831336374394, -3.2303671060014691)	(-7.8480704764409364, -8.609098009554975)	(4.7540357842337073, -5.2927024701294796)	(-5.475793450939074, 1.3992204729176247)	1.0	slash	0.978227
13	Q	E	R	Q	Q	8	4	shapes	R	5	False	4	(-4.6610380080103004, 7.3291017238983152)	(3.910865651220174, -8.1296207380406003)	(5.3179595728391185, -4.2895792714469163)	(4.2661922692415111, 1.6483233878728338)	1.0	z	0.876927
14	Q	F	E	F	F	8	3	shapes	F	5	True	4	(8.2771877914034633, 7.6629456154027018)	(3.4779740949567675, 2.7448399572878923)	(-6.7870229138361138, 8.4793213110300947)	(-5.783410753838508, 0.53665690313335368)	1.0	slash	2.06546
15	R	F	Q	E	E	8	2	shapes	Q	5	False	4	(2.5936628395020751, -0.24388206644245436)	(-5.4764295109994166, 1.7587723048225712)	(2.7608684064297186, -7.7419441687154684)	(-2.4021402838933401, 6.0498441559151708)	1.0	z	0.936927
16	R	F	F	F	E	8	7	shapes	F	5	False	4	(3.7910608359015683, -7.2937767122488371)	(2.6455332980625688, -2.2523352316426388)	(4.2266295127447133, 8.5122384654450336)	(-4.0274070703849674, 3.5256183046922054)	1.0	z	0.882749
17	Q	E	F	E	R	4	2	shapes	F	5	False	4	(-0.9914462472816794, 5.9926672355666764)	(-1.2928973867506288, -0.84517369206117277)	(6.7467774208040527, -7.6967618144816896)	(8.4652440913563431, 6.4179274868089795)	1.0	slash	1.01228
18	Q	F	R	R	R	4	3	shapes	R	5	True	4	(1.0496758633015713, -4.6984733862598809)	(-4.0711761768957029, 4.8400849984320224)	(5.4737464172606423, 3.8185612999926413)	(-4.1410524649519331, -2.2238031427443286)	1.0	z	0.851805
19	R	E	Q	F	E	8	5	shapes	E	5	True	4	(1.3433173870442872, -4.2778940668072725)	(2.884871076859568, -0.42634649550640091)	(-6.2123217965656403, 6.3512489895031834)	(6.7228077646697351, 5.3906630712134458)	1.0	z	1.19948
20	R	F	E	E	Q	8	7	shapes	Q	5	True	4	(4.4530775833303604, -0.85961256532844299)	(-4.1460026842071063, 3.456176324751322)	(5.3226285688729842, 6.5415378844201211)	(-0.58133033073794849, -0.40207526224936352)	1.0	z	1.0211
21	Q	F	Q	F	R	8	3	shapes	F	5	False	4	(-7.1380912580995899, 0.9990542035131309)	(7.1152745216150048, 6.3793931989177981)	(-0.27196212498792605, -5.6103897742859319)	(-8.1537380928030867, -7.9431397110206285)	1.0	slash	1.24685
22	Q	E	F	F	F	4	3	shapes	F	5	True	4	(6.8956372869965001, 3.2715452680229991)	(-0.80258915513682183, 3.5389051499452222)	(-2.9651571955321971, -0.1125049799048945)	(6.9271240446636977, -4.4000900678328412)	1.0	z	0.864372
23	Q	E	Q	F	R	4	3	shapes	F	5	False	4	(6.3696839983187985, -3.6894272710096851)	(-5.8190185615583871, -0.25929675338416303)	(7.9117508389141378, 2.6023687215537308)	(-0.23812585613383241, 3.456682058106443)	1.0	slash	0.83823
